Time	Open	High	Low	Close	Volume
2014-03-03 21:00:00	101.393	101.45	101.377	101.44	1326
2014-03-03 22:00:00	101.448	101.448	101.408	101.433	647
2014-03-03 23:00:00	101.434	101.445	101.396	101.415	1454
2014-03-04 00:00:00	101.415	101.552	101.415	101.528	5027
2014-03-04 01:00:00	101.527	101.698	101.508	101.669	4707
2014-03-04 02:00:00	101.67	101.671	101.566	101.582	2742
2014-03-04 03:00:00	101.582	101.667	101.582	101.621	2342
2014-03-04 04:00:00	101.623	101.733	101.593	101.665	3439
2014-03-04 05:00:00	101.664	101.686	101.631	101.645	2797
2014-03-04 06:00:00	101.646	101.946	101.64	101.8	8404
2014-03-04 07:00:00	101.8	101.907	101.785	101.799	4124
2014-03-04 08:00:00	101.799	101.883	101.766	101.827	4776
2014-03-04 09:00:00	101.827	101.846	101.758	101.779	3348
2014-03-04 10:00:00	101.78	101.901	101.759	101.873	4375
2014-03-04 11:00:00	101.873	101.924	101.796	101.862	5260
2014-03-04 12:00:00	101.863	101.915	101.851	101.872	3634
2014-03-04 13:00:00	101.875	101.94	101.816	101.886	4430
2014-03-04 14:00:00	101.888	102.029	101.851	102.005	6910
2014-03-04 15:00:00	102.006	102.138	102.006	102.133	6217
2014-03-04 16:00:00	102.132	102.219	102.11	102.181	5255
2014-03-04 17:00:00	102.182	102.204	102.145	102.171	3504
2014-03-04 18:00:00	102.171	102.27	102.091	102.161	4334
2014-03-04 19:00:00	102.161	102.26	102.111	102.255	3462
2014-03-04 20:00:00	102.253	102.284	102.224	102.267	2491
2014-03-04 21:00:00	102.267	102.268	102.201	102.209	1191
2014-03-04 22:00:00	102.21	102.284	102.199	102.253	2538
2014-03-04 23:00:00	102.255	102.255	102.174	102.214	2036
2014-03-05 00:00:00	102.211	102.252	102.151	102.196	5833
2014-03-05 01:00:00	102.197	102.226	102.121	102.126	4172
2014-03-05 02:00:00	102.126	102.211	102.115	102.202	3068
2014-03-05 03:00:00	102.202	102.281	102.185	102.189	3239
2014-03-05 04:00:00	102.19	102.256	102.182	102.237	2365
2014-03-05 05:00:00	102.236	102.236	102.141	102.191	3427
2014-03-05 06:00:00	102.192	102.222	102.117	102.218	2995
2014-03-05 07:00:00	102.217	102.264	102.183	102.231	3019
2014-03-05 08:00:00	102.231	102.422	102.195	102.412	5886
2014-03-05 09:00:00	102.412	102.427	102.345	102.392	4141
2014-03-05 10:00:00	102.392	102.435	102.368	102.393	3769
2014-03-05 11:00:00	102.393	102.436	102.341	102.382	3333
2014-03-05 12:00:00	102.382	102.469	102.358	102.449	4878
2014-03-05 13:00:00	102.449	102.542	102.341	102.506	7629
2014-03-05 14:00:00	102.506	102.548	102.416	102.433	6664
2014-03-05 15:00:00	102.436	102.469	102.268	102.325	7717
2014-03-05 16:00:00	102.326	102.384	102.245	102.327	4774
2014-03-05 17:00:00	102.327	102.389	102.312	102.362	2373
2014-03-05 18:00:00	102.362	102.382	102.294	102.323	2281
2014-03-05 19:00:00	102.323	102.361	102.241	102.319	3059
2014-03-05 20:00:00	102.32	102.333	102.268	102.301	1796
2014-03-05 21:00:00	102.301	102.362	102.26	102.296	1908
2014-03-05 22:00:00	102.296	102.369	102.266	102.361	1973
2014-03-05 23:00:00	102.36	102.38	102.329	102.36	1682
2014-03-06 00:00:00	102.361	102.456	102.327	102.446	6096
2014-03-06 01:00:00	102.444	102.6	102.435	102.498	8478
2014-03-06 02:00:00	102.495	102.532	102.465	102.505	3869
2014-03-06 03:00:00	102.508	102.69	102.495	102.67	5562
2014-03-06 04:00:00	102.671	102.759	102.615	102.714	4572
2014-03-06 05:00:00	102.714	102.753	102.642	102.664	3777
2014-03-06 06:00:00	102.663	102.707	102.625	102.665	3049
2014-03-06 07:00:00	102.668	102.774	102.642	102.755	4494
2014-03-06 08:00:00	102.757	102.812	102.707	102.76	5589
2014-03-06 09:00:00	102.76	102.767	102.653	102.693	4188
2014-03-06 10:00:00	102.693	102.709	102.608	102.662	3151
2014-03-06 11:00:00	102.662	102.719	102.648	102.697	3377
2014-03-06 12:00:00	102.697	102.755	102.637	102.736	4783
2014-03-06 13:00:00	102.737	103.104	102.707	103.103	11680
2014-03-06 14:00:00	103.105	103.167	103.058	103.079	7912
2014-03-06 15:00:00	103.079	103.109	102.959	103.073	5475
2014-03-06 16:00:00	103.073	103.084	103.016	103.032	3717
2014-03-06 17:00:00	103.032	103.042	102.939	102.972	2900
2014-03-06 18:00:00	102.972	103.018	102.933	102.953	2254
2014-03-06 19:00:00	102.953	103.045	102.944	103.044	1930
2014-03-06 20:00:00	103.043	103.071	103.021	103.037	1576
2014-03-06 21:00:00	103.037	103.083	103.005	103.064	1361
2014-03-06 22:00:00	103.068	103.158	103.056	103.079	1338
2014-03-06 23:00:00	103.078	103.098	103.027	103.059	1821
2014-03-07 00:00:00	103.058	103.091	102.994	102.997	4766
2014-03-07 01:00:00	102.997	103.048	102.933	103.03	3569
2014-03-07 02:00:00	103.029	103.029	102.948	102.987	2008
2014-03-07 03:00:00	102.986	102.986	102.865	102.926	3080
2014-03-07 04:00:00	102.926	103.011	102.906	102.98	2647
2014-03-07 05:00:00	102.98	103.034	102.964	103.002	2889
2014-03-07 06:00:00	103.002	103.005	102.925	102.93	2376
2014-03-07 07:00:00	102.929	102.965	102.865	102.878	2209
2014-03-07 08:00:00	102.878	102.934	102.839	102.876	3067
2014-03-07 09:00:00	102.874	102.995	102.852	102.967	3535
2014-03-07 10:00:00	102.967	102.99	102.927	102.956	2479
2014-03-07 11:00:00	102.958	102.993	102.908	102.943	3254
2014-03-07 12:00:00	102.941	102.951	102.91	102.934	2777
2014-03-07 13:00:00	102.933	103.762	102.862	103.728	16002
2014-03-07 14:00:00	103.731	103.735	103.328	103.452	12238
2014-03-07 15:00:00	103.455	103.535	103.308	103.317	8892
2014-03-07 16:00:00	103.319	103.415	103.123	103.39	8884
2014-03-07 17:00:00	103.393	103.399	103.312	103.316	2865
2014-03-07 18:00:00	103.316	103.356	103.266	103.321	2623
2014-03-07 19:00:00	103.322	103.333	103.215	103.297	2662
2014-03-07 20:00:00	103.297	103.345	103.256	103.304	2015
2014-03-07 21:00:00	103.305	103.325	103.209	103.243	976
2014-03-09 21:00:00	103.031	103.142	103.019	103.131	1231
2014-03-09 22:00:00	103.132	103.23	103.125	103.175	2819
2014-03-09 23:00:00	103.174	103.26	103.163	103.178	3045
2014-03-10 00:00:00	103.178	103.295	103.116	103.121	6265
2014-03-10 01:00:00	103.12	103.141	103.003	103.049	5736
2014-03-10 02:00:00	103.05	103.089	102.975	103.064	3452
2014-03-10 03:00:00	103.065	103.131	103.008	103.112	3082
2014-03-10 04:00:00	103.112	103.132	103.024	103.048	2853
2014-03-10 05:00:00	103.052	103.096	103.024	103.081	2721
2014-03-10 06:00:00	103.08	103.153	103.069	103.095	2749
2014-03-10 07:00:00	103.095	103.14	102.934	103.098	5199
2014-03-10 08:00:00	103.099	103.279	103.086	103.278	6152
2014-03-10 09:00:00	103.277	103.353	103.248	103.279	4830
2014-03-10 10:00:00	103.28	103.346	103.27	103.302	3412
2014-03-10 11:00:00	103.303	103.405	103.295	103.367	3617
2014-03-10 12:00:00	103.367	103.372	103.27	103.317	3822
2014-03-10 13:00:00	103.318	103.389	103.29	103.322	6365
2014-03-10 14:00:00	103.32	103.325	103.154	103.187	7439
2014-03-10 15:00:00	103.186	103.323	103.161	103.229	5789
2014-03-10 16:00:00	103.227	103.299	103.169	103.281	3550
2014-03-10 17:00:00	103.281	103.29	103.18	103.196	2585
2014-03-10 18:00:00	103.196	103.226	103.164	103.194	2061
2014-03-10 19:00:00	103.195	103.259	103.178	103.237	1471
2014-03-10 20:00:00	103.238	103.284	103.237	103.263	1198
2014-03-10 21:00:00	103.264	103.307	103.223	103.282	935
2014-03-10 22:00:00	103.282	103.305	103.254	103.298	612
2014-03-10 23:00:00	103.297	103.298	103.237	103.257	1681
2014-03-11 00:00:00	103.257	103.334	103.257	103.261	3284
2014-03-11 01:00:00	103.26	103.356	103.258	103.341	2090
2014-03-11 02:00:00	103.344	103.427	103.329	103.394	2843
2014-03-11 03:00:00	103.395	103.396	103.242	103.283	3628
2014-03-11 04:00:00	103.284	103.293	103.205	103.239	2246
2014-03-11 05:00:00	103.239	103.314	103.2	103.298	3317
2014-03-11 06:00:00	103.298	103.327	103.267	103.3	1788
2014-03-11 07:00:00	103.3	103.358	103.192	103.192	4010
2014-03-11 08:00:00	103.192	103.325	103.191	103.301	5298
2014-03-11 09:00:00	103.301	103.348	103.273	103.314	3608
2014-03-11 10:00:00	103.315	103.344	103.245	103.259	3175
2014-03-11 11:00:00	103.257	103.323	103.237	103.319	3599
2014-03-11 12:00:00	103.319	103.342	103.257	103.257	3337
2014-03-11 13:00:00	103.259	103.322	103.213	103.258	5265
2014-03-11 14:00:00	103.257	103.332	103.215	103.31	6402
2014-03-11 15:00:00	103.309	103.32	103.159	103.188	5010
2014-03-11 16:00:00	103.186	103.193	102.938	103.101	8215
2014-03-11 17:00:00	103.098	103.103	102.941	102.995	5197
2014-03-11 18:00:00	102.995	103.031	102.858	102.898	4730
2014-03-11 19:00:00	102.895	102.993	102.847	102.974	3802
2014-03-11 20:00:00	102.973	103.041	102.906	103.021	1322
2014-03-11 21:00:00	103.022	103.024	102.945	102.997	792
2014-03-11 22:00:00	102.995	102.995	102.948	102.948	647
2014-03-11 23:00:00	102.947	102.978	102.78	102.853	2294
2014-03-12 00:00:00	102.853	102.993	102.835	102.894	4877
2014-03-12 01:00:00	102.894	102.961	102.846	102.957	4451
2014-03-12 02:00:00	102.957	103.1	102.932	103.071	3913
2014-03-12 03:00:00	103.072	103.074	102.974	103.026	2282
2014-03-12 04:00:00	103.026	103.059	102.961	102.995	1962
2014-03-12 05:00:00	102.993	103.004	102.919	102.949	2252
2014-03-12 06:00:00	102.949	102.964	102.837	102.905	2497
2014-03-12 07:00:00	102.905	102.911	102.806	102.887	3965
2014-03-12 08:00:00	102.888	102.971	102.847	102.871	3835
2014-03-12 09:00:00	102.869	102.869	102.688	102.775	5182
2014-03-12 10:00:00	102.776	102.776	102.658	102.68	3925
2014-03-12 11:00:00	102.678	102.815	102.657	102.79	3935
2014-03-12 12:00:00	102.791	102.791	102.627	102.698	5367
2014-03-12 13:00:00	102.7	102.764	102.549	102.669	9331
2014-03-12 14:00:00	102.667	102.801	102.648	102.762	8684
2014-03-12 15:00:00	102.763	102.864	102.717	102.737	5764
2014-03-12 16:00:00	102.737	102.769	102.67	102.739	4325
2014-03-12 17:00:00	102.738	102.744	102.63	102.656	3075
2014-03-12 18:00:00	102.655	102.743	102.641	102.685	3019
2014-03-12 19:00:00	102.684	102.719	102.634	102.704	2147
